"","source","target","Edge Weight"
"414","mdrfl","CA_Lady",1
"415","leftywitch","CA_Lady",1
"416","polymath22","CA_Lady",1
"417","HateFree_Speech","CA_Lady",1
"418","CA_Lady","polymath22",1
"419","CA_Lady","mdrfl",1
"420","CA_Lady","legaleagle",1
"421","CA_Lady","haymakers",1
"422","CA_Lady","leftywitch",1
"423","CA_Lady","GKMTNtwits",1
"424","CA_Lady","adbridgeforth",1
"425","CA_Lady","HateFree_Speech",1
"426","CA_Lady","Our4thEstate",1
"427","CA_Lady","nedmiller",1
"428","wijim500","justasking2011",1
"429","justasking2011","JohnJagler",1
"430","justasking2011","WIFamilyAction",1
"431","justasking2011","MCNETHJ",1
"432","justasking2011","MacIverWisc",1
"433","justasking2011","gjzielinski",1
"434","justasking2011","wijim500",1
"435","MCNETHJ","justasking2011",1
"436","WIFamilyAction","justasking2011",1
"437","AmyKremer","JoeWierzbicki",1
"438","Olgold96","JoeWierzbicki",1
"439","JoeWierzbicki","AmyKremer",1
"440","JoeWierzbicki","WIFamilyAction",1
"441","JoeWierzbicki","Jarjarbug",1
"442","JoeWierzbicki","RedAlert",1
"443","JoeWierzbicki","magstertv",1
"444","JoeWierzbicki","LaurenC_Lux",1
"445","JoeWierzbicki","BenjaminSparks",1
"446","TheFlaCracker","JoeWierzbicki",1
"447","WIFamilyAction","JoeWierzbicki",1
"448","BrownDeerRepub","TomLavinNH",1
"449","TomLavinNH","davecatanese",1
"450","TomLavinNH","RussOnPolitics",1
"451","TomLavinNH","ECmadtown",1
"452","TomLavinNH","SuzanneWilliam4",1
"453","TomLavinNH","BrownDeerRepub",1
"454","SuzanneWilliam4","TomLavinNH",1
"455","RussOnPolitics","TomLavinNH",1
"456","wisaflcio","labornuts",1
"457","labornuts","wisaflcio",1
"458","labornuts","DefendWisconsin",1
"459","labornuts","AFTunion",1
"460","labornuts","TalkingUnion",1
"461","labornuts","banditelli",1
"462","labornuts","LorenaSGonzalez",1
"463","labornuts","WIProud",1
"464","DrinkLiberalKC","WeRWisconsin",1
"465","DrinkLiberalKC","DefendWisconsin",1
"466","DrinkLiberalKC","wisaflcio",1
"467","tatalioyy","Salon",1
"468","lrflw","Salon",1
"469","WeRWisconsin","karenornery",1
"470","ak2sandiego","karenornery",1
"471","ToConservatives","karenornery",1
"472","karenornery","Salon",1
"473","karenornery","ToConservatives",1
"474","karenornery","gjzielinski",1
"475","karenornery","WeRWisconsin",1
"476","karenornery","ak2sandiego",1
"477","karenornery","PolitiScoop",1
"478","MadPolitics","KingLutherie",1
"479","wisaflcio","KingLutherie",1
"480","KingLutherie","MadPolitics",1
"481","KingLutherie","wisaflcio",1
"482","Jane_WI","DDaisy",1
"483","bluecheddar1","DDaisy",1
"484","SpudLovr","DDaisy",1
"485","DefeatVos","DDaisy",1
"486","Cog_Dis","DDaisy",1
"487","DDaisy","bluecheddar1",1
"488","DDaisy","SpudLovr",1
"489","DDaisy","robzerban",1
"490","DDaisy","Jane_WI",1
"491","DDaisy","MahlonMitchell",1
"492","DDaisy","VibeVal",1
"493","DDaisy","unkybunky",1
"494","unkybunky","DDaisy",1
"495","VibeVal","DDaisy",1
"496","toni_m16","jasiri_x",1
"497","jasiri_x","toni_m16",1
"498","LPMercer","mama2fluffs",1
"499","nthq","mama2fluffs",1
"500","WeRWisconsin","mama2fluffs",1
"501","Muxywithmoxie","mama2fluffs",1
"502","bluecheddar1","mama2fluffs",1
"503","wisaflcio","mama2fluffs",1
"504","HarryWaisbren","mama2fluffs",1
"505","TheDailyEdge","mama2fluffs",1
"506","mama2fluffs","MahlonMitchell",1
"507","mama2fluffs","legaleagle",1
"508","mama2fluffs","TruthSucceeds",1
"509","mama2fluffs","pepsibaby_04",1
"510","mama2fluffs","superbranch",1
"511","mama2fluffs","triumph68",1
"512","mama2fluffs","WeRWisconsin",1
"513","mama2fluffs","bxknits",1
"514","mama2fluffs","bluecheddar1",1
"515","mama2fluffs","wisaflcio",1
"516","mama2fluffs","WIProud",1
"517","mama2fluffs","peterflom",1
"518","mama2fluffs","Cops4Labor",1
"519","mama2fluffs","mayread3",1
"520","mama2fluffs","LPMercer",1
"521","mama2fluffs","saragoldrickrab",1
"522","mama2fluffs","babaoreilymike",1
"523","mama2fluffs","hakeber53714",1
"524","mama2fluffs","TheDailyEdge",1
"525","mama2fluffs","nthq",1
"526","mama2fluffs","HarryWaisbren",1
"527","mama2fluffs","DefeatVos",1
"528","mama2fluffs","Muxywithmoxie",1
"529","mama2fluffs","AndrewKroll",1
"530","legaleagle","mama2fluffs",1
"531","pepsibaby_04","mama2fluffs",1
"532","TruthSucceeds","mama2fluffs",1
"533","bxknits","mama2fluffs",1
"534","mayread3","mama2fluffs",1
"535","marthaq","bluecheddar1",1
"536","marthaq","jimwitkins",1
"537","marthaq","wisaflcio",1
"538","marthaq","DefendWisconsin",1
"539","wijim500","DeFoMan",1
"540","Olgold96","DeFoMan",1
"541","DeFoMan","JohnJagler",1
"542","DeFoMan","TODAYSTMJ4",1
"543","DeFoMan","MacIverWisc",1
"544","DeFoMan","jwigderson",1
"545","DeFoMan","gbpressgazette",1
"546","DeFoMan","bluecheddar1",1
"547","DeFoMan","news3jessica",1
"548","DeFoMan","BenjaminSparks",1
"549","votegun","DeFoMan",1
"550","keithh1981","DeFoMan",1
"551","RacineTEAParty","DMforCaledonia",1
"552","LORAHALB","DMforCaledonia",1
"553","UniqueName099","DMforCaledonia",1
"554","DMforCaledonia","LORAHALB",1
"555","DMforCaledonia","RacineTEAParty",1
"556","DMforCaledonia","UniqueName099",1
"557","DMforCaledonia","gjzielinski",1
"558","DMforCaledonia","BenjaminSparks",1
"559","keithh1981","DMforCaledonia",1
"560","TheDailyEdge","SFsanibel",1
"561","SFsanibel","Salon",1
"562","SFsanibel","prwatch",1
"563","Progress2day","mairee77",1
"564","WeRWisconsin","mairee77",1
"565","bluecheddar1","mairee77",1
"566","SpudLovr","mairee77",1
"567","polymath22","mairee77",1
"568","mairee77","Salon",1
"569","mairee77","AFTunion",1
